Date,Close_META,Volume_META
2016-05-10,120.25289154052734,23220000.0
2016-05-11,119.27489471435547,22038400.0
2016-05-12,120.03334045410156,22035500.0
2016-05-13,119.56430053710938,18124300.0
2016-05-16,118.4266357421875,31247800.0
2016-05-17,117.1093521118164,21328600.0
2016-05-18,117.40873718261719,21642300.0
2016-05-19,116.5704574584961,20544100.0
2016-05-20,117.1093521118164,18944800.0
2016-05-23,115.732177734375,20441000.0
2016-05-24,117.45862579345703,20183600.0
2016-05-25,117.64823913574219,20019800.0
2016-05-26,119.2249984741211,18481300.0
2016-05-27,119.13518524169922,13493600.0
2016-05-31,118.56635284423828,23547600.0
2016-06-01,118.53641510009766,15029500.0
2016-06-02,118.68610382080078,13228300.0
2016-06-03,118.22705078125,14135100.0
2016-06-06,118.54639434814453,12744700.0
2016-06-07,117.51850891113281,17103000.0
2016-06-08,118.14720916748047,14505600.0
2016-06-09,118.31686401367188,13859200.0
2016-06-10,116.38084411621094,18510800.0
2016-06-13,113.71632385253906,31718200.0
2016-06-14,114.70429229736328,17618500.0
2016-06-15,114.36498260498047,19819400.0
2016-06-16,114.15541076660156,19236300.0
2016-06-17,112.7882308959961,24644300.0
2016-06-20,113.13751220703125,20785400.0
2016-06-21,114.14543914794922,19166300.0
2016-06-22,113.67640686035156,14846300.0
2016-06-23,114.84400939941406,16176900.0
2016-06-24,111.85015869140625,40643100.0
2016-06-27,108.74653625488281,36130400.0
2016-06-28,112.46887969970703,26813800.0
2016-06-29,113.92588806152344,20968300.0
2016-06-30,114.04564666748047,23192700.0
2016-07-01,113.95582580566406,14980000.0
2016-07-05,113.96580505371094,14207000.0
2016-07-06,116.46067810058594,24337600.0
2016-07-07,115.6124267578125,16630200.0
2016-07-08,116.99957275390625,18142600.0
2016-07-11,117.62828826904297,17711600.0
2016-07-12,117.68815612792969,15217700.0
2016-07-13,116.54051971435547,16207700.0
2016-07-14,117.04946899414062,14579700.0
2016-07-15,116.62035369873047,16646000.0
2016-07-18,119.12520599365234,20868400.0
2016-07-19,120.36266326904297,21541300.0
2016-07-20,121.66996765136719,20046500.0
2016-07-21,120.36266326904297,17801700.0
2016-07-22,120.75186157226562,18422400.0
2016-07-25,121.38056945800781,18487400.0
2016-07-26,120.9714126586914,17612000.0
2016-07-27,123.0870590209961,52654200.0
2016-07-28,124.74365997314453,78955800.0
2016-07-29,123.68583679199219,35058800.0
2016-08-01,124.0550765991211,25006900.0
2016-08-02,122.83757019042969,23968400.0
2016-08-03,122.25877380371094,18525300.0
2016-08-04,124.10497283935547,21066000.0
2016-08-05,124.89335632324219,20184000.0
2016-08-08,125.00312805175781,15233900.0
2016-08-09,124.80353546142578,19621000.0
2016-08-10,124.62390899658203,10670100.0
2016-08-11,124.64386749267578,11729500.0
2016-08-12,124.62390899658203,12159000.0
2016-08-15,123.64591979980469,19295100.0
2016-08-16,123.04714965820312,14222400.0
2016-08-17,124.11495208740234,13794200.0
2016-08-18,123.65589904785156,12400800.0
2016-08-19,123.30661010742188,11688300.0
2016-08-22,123.8954086303711,14386400.0
2016-08-23,124.11495208740234,13309500.0
2016-08-24,123.2267837524414,12243700.0
2016-08-25,123.63593292236328,10730800.0
2016-08-26,124.70374298095703,17504800.0
2016-08-29,126.28050231933594,15925900.0
2016-08-30,125.5819320678711,17804300.0
2016-08-31,125.86136627197266,14200600.0
2016-09-01,125.91126251220703,13536100.0
2016-09-02,126.25056457519531,12118800.0
2016-09-06,129.46395874023438,26278400.0
2016-09-07,130.78125,27990800.0
2016-09-08,130.0028533935547,15676600.0
2016-09-09,126.83935546875,27100700.0
2016-09-12,128.4261016845703,21252800.0
2016-09-13,126.94912719726562,18016200.0
2016-09-14,127.50798034667969,15691100.0
2016-09-15,128.08680725097656,15077200.0
2016-09-16,128.80532836914062,24119200.0
2016-09-19,128.38616943359375,14958800.0
2016-09-20,128.37619018554688,11083800.0
2016-09-21,129.67352294921875,14068300.0
2016-09-22,129.813232421875,15538300.0
2016-09-23,127.69758605957031,28326300.0
2016-09-26,127.04891967773438,15064900.0
2016-09-27,128.4261016845703,15637100.0
2016-09-28,128.96498107910156,12047600.0
2016-09-29,127.82731628417969,14532200.0
2016-09-30,128.0069580078125,18402900.0
2016-10-03,128.50592041015625,13156900.0
2016-10-04,127.92711639404297,14307500.0
2016-10-05,128.20654296875,12386800.0
2016-10-06,128.47598266601562,11682700.0
2016-10-07,128.72547912597656,12804400.0
2016-10-10,129.97291564941406,15138700.0
2016-10-11,128.61570739746094,17537900.0
2016-10-12,128.7853546142578,11073000.0
2016-10-13,127.55787658691406,17139300.0
2016-10-14,127.61775207519531,13345300.0
2016-10-17,127.27845001220703,11351700.0
2016-10-18,128.30633544921875,13504000.0
2016-10-19,129.84317016601562,16752300.0
2016-10-20,129.7333984375,13167500.0
2016-10-21,131.79916381835938,19088800.0
2016-10-24,133.0066680908203,17470200.0
2016-10-25,132.01870727539062,13336800.0
2016-10-26,130.77127075195312,13084700.0
2016-10-27,129.42405700683594,16741400.0
2016-10-28,131.02076721191406,24545500.0
2016-10-31,130.72137451171875,15669000.0
2016-11-01,129.23443603515625,22077800.0
2016-11-02,126.90921020507812,39640900.0
2016-11-03,119.75391387939453,63766300.0
2016-11-04,120.50238037109375,30545500.0
2016-11-07,121.8995132446289,23008900.0
2016-11-08,123.96525573730469,19460800.0
2016-11-09,122.92739868164062,31916000.0
2016-11-10,120.55227661132812,67846700.0
2016-11-11,118.77591705322266,32840100.0
2016-11-14,114.84400939941406,51377000.0
2016-11-15,116.95965576171875,34681400.0
2016-11-16,116.1014175415039,32397900.0
2016-11-17,117.54844665527344,18597800.0
2016-11-18,116.78001403808594,22879300.0
2016-11-21,121.52027893066406,35415400.0
2016-11-22,121.22090148925781,26089200.0
2016-11-23,120.5921859741211,15672100.0
2016-11-25,120.13313293457031,8658600.0
2016-11-28,120.16307830810547,18101300.0
2016-11-29,120.62213134765625,18891000.0
2016-11-30,118.1771469116211,30188900.0
2016-12-01,114.86396026611328,43277000.0
2016-12-02,115.16334533691406,25070400.0
2016-12-05,117.1891860961914,20201500.0
2016-12-06,117.06942749023438,19131200.0
2016-12-07,117.70811462402344,21913700.0
2016-12-08,118.66615295410156,22442800.0
2016-12-09,119.4345703125,17464700.0
2016-12-12,117.52848052978516,17805500.0
2016-12-13,120.06327819824219,29768000.0
2016-12-14,119.96348571777344,25913100.0
2016-12-15,120.32274627685547,20139600.0
